,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
196,391.962958,39.946061,-0.093710,0.000130,2.394808,-2.554535,5.863353,-2.274115,9.773776
197,393.962769,40.073069,-0.093410,0.000170,2.687842,-2.668189,6.054317,-1.954906,9.823754
198,395.962580,40.214461,-0.093033,0.000208,2.989406,-2.765562,5.760347,-1.652579,9.873563
199,397.962391,40.369906,-0.092575,0.000251,3.275270,-2.847573,5.547776,-1.366192,9.923189
200,399.962202,40.538570,-0.092024,0.000302,3.549481,-2.915100,4.994360,-1.093556,9.972617
201,401.962013,40.719304,-0.091359,0.000365,3.795275,-2.968919,4.679804,-0.832161,10.021831
202,403.961824,40.910850,-0.090555,0.000442,4.024538,-3.009686,4.185387,-0.579737,10.070821
203,405.961635,41.112041,-0.089582,0.000534,4.228597,-3.037951,3.844154,-0.334474,10.119576
204,407.961446,41.321703,-0.088407,0.000644,4.415085,-3.054177,3.638872,-0.095229,10.168088
205,409.961257,41.539023,-0.086997,0.000770,4.590705,-3.058773,3.571057,0.138405,10.216350
206,411.961068,41.763521,-0.085316,0.000914,4.762139,-3.052129,3.600230,0.366164,10.264357
207,413.960879,41.994995,-0.083331,0.001075,4.934033,-3.034646,3.653949,0.587198,10.312102
208,415.960690,42.233377,-0.081008,0.001252,5.107520,-3.006767,3.858232,0.800169,10.359581
209,417.960501,42.478795,-0.078314,0.001445,5.289661,-2.968992,3.967890,1.003329,10.406790
210,419.960312,42.731424,-0.075217,0.001655,5.475886,-2.921903,4.055529,1.194617,10.453723
211,421.960123,42.991303,-0.071685,0.001881,5.665087,-2.866171,4.054599,1.371872,10.500376
212,423.959934,43.258341,-0.067686,0.002121,5.853092,-2.802559,3.989327,1.532942,10.546744
213,425.959745,43.532285,-0.063194,0.002375,6.036918,-2.731922,-0.016576,1.675810,10.592823
214,427.959556,43.808692,-0.058180,0.002641,6.036159,-2.655188,-4.513190,1.799280,10.638612
215,429.959367,44.078689,-0.052625,0.002916,5.830791,-2.573314,-4.178005,1.903706,10.684116
216,431.959179,44.338155,-0.046516,0.003195,5.641810,-2.487205,-3.883388,1.990254,10.729349
217,433.958990,44.587961,-0.039848,0.003473,5.467159,-2.397696,-3.664910,2.059791,10.774323
218,435.958801,44.828829,-0.032629,0.003746,5.303237,-2.305566,-3.484445,2.112584,10.819050
219,437.958612,45.061335,-0.024872,0.004010,5.148204,-2.211571,-3.439662,2.148182,10.863543
220,439.958423,45.285867,-0.016599,0.004261,4.995937,-2.116475,-3.430407,2.165313,10.907811
221,441.958234,45.502627,-0.007840,0.004495,4.844815,-2.021085,-3.547243,2.170586,10.951865
222,443.958045,45.711654,0.001366,0.004708,4.689274,-1.925909,-3.592138,2.195776,10.995713
223,445.957856,45.912930,0.010973,0.004896,4.532468,-1.830058,-3.911534,2.245689,11.039366
224,447.957667,46.106242,0.020932,0.005059,4.362451,-1.732447,-4.039392,2.315503,11.082831
225,449.957478,46.291299,0.031190,0.005196,4.187593,-1.632214,-4.175668,2.399655,11.126119
