right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
195.899022,595.385367,1.636883,208.652478,586.939526,-0.786146
195.666220,595.036401,1.637385,208.430036,586.603658,-0.785877
195.434243,594.686886,1.637911,208.230516,586.299188,-0.785726
195.202438,594.337258,1.638443,208.001733,585.950061,-0.785552
194.970632,593.987629,1.638974,207.770289,585.596875,-0.785377
194.739030,593.637866,1.639504,207.576350,585.300354,-0.785240
194.508410,593.287454,1.640029,207.349017,584.950282,-0.785123
194.277790,592.937043,1.640554,207.119041,584.596138,-0.785005
194.047170,592.586631,1.641079,206.891709,584.246066,-0.784888
193.817204,592.235790,1.641592,206.691401,583.936317,-0.784783
193.587854,591.884546,1.642096,206.462573,583.581431,-0.784661
193.358504,591.533302,1.642599,206.236374,583.230625,-0.784540
193.129154,591.182057,1.643102,206.007546,582.875739,-0.784419
192.901165,590.829929,1.643536,205.803192,582.557049,-0.784265
192.673400,590.477654,1.643958,205.575269,582.201581,-0.784093
192.445635,590.125380,1.644381,205.349965,581.850199,-0.783924
192.218094,589.772961,1.644805,205.151137,581.539499,-0.783774
191.991443,589.419969,1.645237,204.926999,581.187372,-0.783605
191.764792,589.066978,1.645668,204.700255,580.831151,-0.783435
191.538140,588.713986,1.646100,204.476117,580.479025,-0.783266
191.311973,588.360684,1.646560,204.276045,580.163362,-0.783101
191.086213,588.007122,1.647043,204.050344,579.806479,-0.782905
190.860452,587.653560,1.647527,203.827238,579.453698,-0.782712
190.634691,587.299998,1.648010,203.614510,579.117324,-0.782528
190.409510,586.946067,1.648579,203.394737,578.768179,-0.782260
190.184402,586.592089,1.649159,203.172379,578.414926,-0.781989
189.959294,586.238111,1.649739,202.950021,578.061673,-0.781718
189.734428,585.883980,1.650324,202.719819,577.696152,-0.781318
189.510370,585.529336,1.650926,202.497278,577.343014,-0.780795
189.286313,585.174692,1.651528,202.272150,576.985770,-0.780265
189.062255,584.820049,1.652130,202.049609,576.632633,-0.779741
188.838500,584.465215,1.652802,201.816327,576.263316,-0.778908
188.614970,584.110238,1.653524,201.590794,575.906328,-0.778081
188.391441,583.755262,1.654247,201.367854,575.553443,-0.777264
188.167912,583.400285,1.654970,201.129102,575.176102,-0.776233
187.944888,583.044991,1.655799,200.905648,574.823542,-0.775101
187.721912,582.689667,1.656638,200.679597,574.466883,-0.773957
187.498936,582.334343,1.657477,200.456143,574.114324,-0.772825
187.276233,581.978848,1.658321,200.248924,573.785954,-0.771699
187.054324,581.622856,1.659180,200.026196,573.432936,-0.770485
186.832415,581.266865,1.660039,199.800878,573.075813,-0.769257
186.610506,580.910873,1.660899,199.612107,572.775977,-0.768238
186.389473,580.554338,1.661726,199.390871,572.422022,-0.767084
186.169030,580.197437,1.662532,199.167063,572.063951,-0.765917
185.948587,579.840536,1.663338,198.945827,571.709996,-0.764763
185.728143,579.483635,1.664143,198.761425,571.413152,-0.763843
185.509297,579.125753,1.664859,198.541873,571.058149,-0.762784
185.290553,578.767807,1.665569,198.322320,570.703147,-0.761726
185.071810,578.409862,1.666279,198.100215,570.344017,-0.760655
184.853586,578.051600,1.666954,197.922869,570.054226,-0.759880
184.636697,577.692528,1.667540,197.702581,569.693978,-0.758926
184.419808,577.333455,1.668126,197.484825,569.337870,-0.757982
184.202919,576.974383,1.668712,197.312653,569.056293,-0.757236
183.987196,576.614610,1.669220,197.094434,568.694787,-0.756444
183.772181,576.254412,1.669680,196.878723,568.337437,-0.755660
183.557166,575.894214,1.670140,196.663012,567.980087,-0.754876
183.342151,575.534016,1.670600,196.495478,567.701374,-0.754309
183.128726,575.172874,1.670979,196.279463,567.338548,-0.753702
182.915362,574.811695,1.671355,196.065930,566.979891,-0.753102
182.701997,574.450517,1.671731,195.849915,566.617064,-0.752495
182.489231,574.088988,1.672063,195.684630,566.337012,-0.752120
182.277830,573.726657,1.672296,195.473308,565.977048,-0.751710
182.066429,573.364326,1.672529,195.261986,565.617085,-0.751300
181.855027,573.001995,1.672762,195.048207,565.252936,-0.750885
181.644850,572.638954,1.672911,194.887617,564.975759,-0.750710
181.435339,572.275527,1.673013,194.676108,564.610286,-0.750494
181.225828,571.912099,1.673116,194.467029,564.249015,-0.750281
181.016318,571.548672,1.673218,194.291987,563.946555,-0.750102
180.808174,571.184460,1.673282,194.092185,563.596746,-0.750054
180.600043,570.820240,1.673345,193.885161,563.234293,-0.750005
180.391912,570.456021,1.673409,193.675730,562.867626,-0.749955
180.184099,570.091620,1.673484,193.502815,562.563945,-0.749934
179.976919,569.726860,1.673585,193.294989,562.196365,-0.749964
179.769738,569.362099,1.673686,193.089552,561.833011,-0.749994
179.562557,568.997338,1.673786,192.881726,561.465431,-0.750025
179.356059,568.632191,1.673904,192.705747,561.152332,-0.750074
179.149880,568.266863,1.674030,192.499294,560.783979,-0.750145
178.943702,567.901535,1.674156,192.295215,560.419860,-0.750215
178.737550,567.536192,1.674282,192.098257,560.068442,-0.750282
178.532355,567.170310,1.674435,191.907021,559.724946,-0.750333
178.327160,566.804429,1.674588,191.701619,559.356007,-0.750388
178.121965,566.438547,1.674740,191.498578,558.991308,-0.750442
177.917066,566.072500,1.674915,191.305180,558.643460,-0.750459
177.712661,565.706177,1.675127,191.102709,558.278445,-0.750415
177.508255,565.339854,1.675339,190.900238,557.913429,-0.750371
177.303850,564.973531,1.675551,190.695413,557.544169,-0.750326
177.099760,564.607032,1.675851,190.495440,557.183318,-0.750150
176.895791,564.240466,1.676184,190.293151,556.818202,-0.749940
176.691822,563.873900,1.676517,190.088510,556.448840,-0.749727
176.487854,563.507333,1.676864,189.909887,556.126099,-0.749541
176.283906,563.140755,1.677391,189.706390,555.756105,-0.749336
176.079957,562.774178,1.677918,189.505232,555.390365,-0.749133
175.876009,562.407600,1.678446,189.301734,555.020371,-0.748928
175.672279,562.040901,1.679015,189.124548,554.696840,-0.748762
175.468850,561.674036,1.679644,188.924615,554.330428,-0.748586
175.265421,561.307170,1.680272,188.724681,553.964017,-0.748410
175.061992,560.940305,1.680901,188.522423,553.593344,-0.748232
174.859583,560.572875,1.681493,188.339487,553.256363,-0.748039
174.657476,560.205280,1.682075,188.140410,552.889485,-0.747826
