right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-391.242368,-173.315523,9.007774,-383.625643,-173.674855,8.858819
-391.284350,-175.316404,9.097979,-383.671619,-175.672718,8.948021
-391.325148,-177.317631,9.188287,-383.717719,-177.670334,9.037525
-391.365451,-179.319105,9.278711,-383.764031,-179.667712,9.127328
-391.405538,-181.320788,9.369256,-383.811496,-181.664809,9.217433
-391.446090,-183.322593,9.459930,-383.859721,-183.661659,9.307829
-391.487491,-185.324489,9.550737,-383.909345,-185.658234,9.398520
-391.529145,-187.326447,9.641662,-383.959808,-187.654586,9.489478
-391.570986,-189.328449,9.732700,-384.010855,-189.650734,9.580687
-391.612970,-191.330480,9.823855,-384.061449,-191.646733,9.672104
-391.654351,-193.332550,9.915102,-384.112015,-193.642573,9.763734
-391.695712,-195.334604,10.006446,-384.162684,-195.638273,9.855575
-391.736626,-197.336642,10.097879,-384.212367,-197.633883,9.947592
-391.777807,-199.338627,10.189411,-384.262617,-199.629355,10.039813
-391.818709,-201.340568,10.281031,-384.313419,-201.624701,10.132223
-391.859908,-203.342432,10.372752,-384.364097,-203.619961,10.224796
-391.901469,-205.344203,10.464579,-384.416070,-205.615101,10.317551
-391.943553,-207.345877,10.556511,-384.469628,-207.610120,10.410489
-391.986583,-209.347429,10.648557,-384.524137,-209.605056,10.503583
-392.030268,-211.348878,10.740701,-384.579761,-211.599913,10.596836
-392.074432,-213.350209,10.832947,-384.635327,-213.594754,10.690210
-392.117844,-215.351479,10.925271,-384.690872,-215.589574,10.783691
-392.161386,-217.352651,11.017685,-384.745753,-217.584406,10.877264
-392.204750,-219.353727,11.110183,-384.800698,-219.579242,10.970935
-392.247453,-221.354729,11.202751,-384.854880,-221.574105,11.064684
-392.291013,-223.355611,11.295420,-384.908048,-223.569010,11.158497
-392.335481,-225.356379,11.388179,-384.960624,-225.563945,11.252384
-392.380878,-227.357023,11.481034,-385.012074,-227.558936,11.346320
-392.427640,-229.357543,11.573988,-385.063643,-229.553948,11.440326
-392.476311,-231.357916,11.667046,-385.115549,-231.548987,11.534402
-392.526233,-233.358183,11.760200,-385.168831,-233.544018,11.628550
-392.577301,-235.358337,11.853447,-385.222372,-235.539083,11.722746
-392.629634,-237.358377,11.946780,-385.275903,-237.534193,11.816982
-392.682041,-239.358341,12.040188,-385.328403,-239.529367,11.911227
-392.734551,-241.358220,12.133664,-385.380117,-241.524604,12.005493
-392.787177,-243.358023,12.227229,-385.430940,-243.519900,12.099762
-392.839525,-245.357746,12.320875,-385.479626,-245.515289,12.194029
-392.893072,-247.357370,12.414639,-385.529017,-247.510700,12.288353
-392.947168,-249.356909,12.508524,-385.578113,-249.506152,12.382731
-393.002260,-251.356342,12.602542,-385.623290,-251.501725,12.477129
-393.058589,-253.355672,12.696713,-385.666449,-253.497368,12.571603
-393.116358,-255.354901,12.791059,-385.709638,-255.493035,12.666215
-393.175497,-257.354027,12.885598,-385.754024,-257.488709,12.761002
-393.234953,-259.353071,12.980327,-385.798185,-259.484408,12.855970
-393.294870,-261.352023,13.075264,-385.841759,-261.480147,12.951129
-393.353640,-263.350913,13.170384,-385.884658,-263.475920,13.046510
-393.411676,-265.349742,13.265706,-385.926196,-265.471731,13.142111
-393.468719,-267.348501,13.361231,-385.967471,-267.467566,13.237965
-393.525194,-269.347195,13.456965,-386.008109,-269.463427,13.334070
-393.577759,-271.345870,13.552860,-386.047870,-271.459314,13.430414
-393.626067,-273.344530,13.648912,-386.086711,-273.455232,13.526982
-393.669571,-275.343172,13.745112,-386.124410,-275.451186,13.623755
-393.708560,-277.341802,13.841458,-386.161923,-277.447153,13.720729
-393.745048,-279.340377,13.937975,-386.199395,-279.443144,13.817893
-393.781760,-281.338867,14.034696,-386.237108,-281.439150,13.915232
-393.816711,-283.337304,14.131566,-386.274876,-283.435170,14.012734
-393.850459,-285.335681,14.228585,-386.312583,-285.431209,14.110378
-393.883072,-287.333998,14.325736,-386.349951,-287.427270,14.208152
-393.913845,-289.332266,14.422994,-386.387020,-289.423349,14.306040
-393.943245,-291.330476,14.520357,-386.423834,-291.419451,14.404033
-393.972176,-293.328624,14.617822,-386.460495,-293.415567,14.502125
-393.999569,-295.326718,14.715367,-386.497047,-295.411699,14.600308
-394.026001,-297.324761,14.812982,-386.533845,-297.407838,14.698586
-394.052332,-299.322735,14.910685,-386.571398,-299.403980,14.796954
-394.077756,-301.320655,15.008450,-386.609634,-301.400121,14.895414
-394.102740,-303.318516,15.106281,-386.648228,-303.396268,14.993956
-394.127878,-305.316315,15.204184,-386.686797,-305.392420,15.092573
-394.152347,-307.314067,15.302144,-386.725432,-307.388575,15.191262
-394.176248,-309.311761,15.400157,-386.763813,-309.384739,15.290020
-394.199676,-311.309411,15.498220,-386.801424,-311.380913,15.388835
-394.222627,-313.307017,15.596331,-386.838203,-313.377101,15.487702
-394.244973,-315.304585,15.694483,-386.874033,-315.373303,15.586615
-394.266212,-317.302127,15.792656,-386.909363,-317.369513,15.685589
-394.287419,-319.299635,15.890867,-386.940307,-319.365775,15.784552
-394.307644,-321.297135,15.989090,-386.967256,-321.362080,15.883513
-394.324591,-323.294633,16.087290,-386.989028,-323.358451,15.982452
-394.339285,-325.292146,16.185479,-387.006948,-325.354865,16.081375
-394.352591,-327.289665,16.283667,-387.022469,-327.351323,16.180303
-394.365717,-329.287186,16.381865,-387.037501,-329.347807,16.279253
-394.377579,-331.284726,16.480049,-387.050190,-331.344339,16.378197
-394.388655,-333.282287,16.578227,-387.061324,-333.340913,16.477132
-394.399595,-335.279860,16.676401,-387.072177,-335.337527,16.576069
-394.409959,-337.277475,16.774557,-387.081784,-337.334181,16.674985
-394.420101,-339.275113,16.872698,-387.090557,-339.330884,16.773875
-394.430560,-341.272785,16.970826,-387.099123,-341.327632,16.872734
-394.440754,-343.270498,17.068922,-387.107009,-343.324423,16.971546
-394.450684,-345.268252,17.166981,-387.114529,-345.321262,17.070308
-394.460214,-347.266042,17.265002,-387.122307,-347.318148,17.169009
-394.469139,-349.263885,17.362972,-387.129341,-349.315081,17.267630
-394.477475,-351.261775,17.460890,-387.135797,-351.312062,17.366158
-394.484956,-353.259713,17.558744,-387.141552,-353.309091,17.464584
-394.492067,-355.257698,17.656539,-387.146745,-355.306169,17.562900
-394.498801,-357.255730,17.754260,-387.151553,-357.303288,17.661108
-394.505159,-359.253809,17.851904,-387.156257,-359.300445,17.759202
-394.511316,-361.251927,17.949471,-387.161302,-361.297641,17.857173
-394.517370,-363.250082,18.046953,-387.166504,-363.294872,17.955015
-394.523338,-365.248285,18.144346,-387.171297,-365.292134,18.052710
-394.529685,-367.246522,18.241650,-387.176667,-367.289422,18.150265
-394.536349,-369.244786,18.338856,-387.182519,-369.286740,18.247666
-394.543487,-371.243078,18.435958,-387.189283,-371.284077,18.344917
-394.551003,-373.241402,18.532947,-387.196269,-373.281434,18.441995
-394.558602,-375.239742,18.629814,-387.203355,-375.278818,18.538888
-394.565574,-377.238112,18.726545,-387.210025,-377.276224,18.635577
-394.572761,-379.236501,18.823144,-387.216597,-379.273649,18.732052
-394.580278,-381.234904,18.919592,-387.223177,-381.271090,18.828312
-394.588369,-383.233318,19.015892,-387.229925,-383.268548,18.924337
-394.597137,-385.231745,19.112037,-387.237272,-385.266015,19.020115
